EQUIPE,JOGADOR,POSICAO,ID,Q,TEMPO,MOMENTO,DURACAO,FUNDAMENTO
Atlético-GO,Oliveira,Zagueiro,46563012,23,2,334,2,passe
Atlético-GO,Gustavo Ferrareis,Meia,46562950,29,2,318,2,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46562911,1,2,308,2,passe
Atlético-GO,Chico,Meia,46562864,31,2,287,2,passe
Atlético-GO,Gustavo Ferrareis,Meia,46562804,26,2,257,2,perdaPosseDeBola
Atlético-MG,Keno,Atacante,46562611,25,2,188,2,impedimento
Atlético-MG,Guilherme Arana,Lateral esquerdo,46562605,14,2,184,2,passe
Atlético-MG,Guga,Lateral direito,46562563,24,2,164,2,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46562496,9,2,128,2,passe
Atlético-GO,Nicolas,Lateral esquerdo,46562395,1,2,88,2,interceptacao
Atlético-GO,Edson,Volante,46562380,9,2,79,2,rebatida
Atlético-MG,Everson,Goleiro,46562376,9,2,77,2,rebatida
Atlético-GO,Edson,Volante,46562344,9,2,67,2,passe
Atlético-GO,Jean,Goleiro,46562338,9,2,65,2,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46562276,14,2,47,2,faltaCometida
Atlético-GO,Chico,Meia,46562227,18,2,34,2,interceptacao
Atlético-GO,Dudu,Lateral direito,46562168,12,2,18,2,passe
Atlético-MG,Réver,Zagueiro,46580382,9,4,3014,2,passe
Atlético-GO,João Victor,Zagueiro,46580336,36,4,2926,2,passe
Atlético-GO,Edson,Volante,46580334,29,4,2924,2,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46580320,8,4,2910,2,passe
Atlético-MG,Mariano,Lateral direito,46580306,24,4,2897,2,passe
Atlético-MG,Réver,Zagueiro,46580294,8,4,2856,2,faltaRecebida
Atlético-MG,Réver,Zagueiro,46580284,8,4,2850,2,passe
Atlético-MG,Igor Rabello,Zagueiro,46580241,11,4,2803,2,passe
Atlético-MG,Réver,Zagueiro,46580227,10,4,2792,2,passe
Atlético-GO,Jean,Goleiro,46580203,4,4,2783,2,passe
Atlético-GO,Jean,Goleiro,46580194,11,4,2780,2,perdaPosseDeBola
Atlético-MG,Junior Alonso,Lateral esquerdo,46580180,1,4,2770,2,passe
Atlético-GO,Chico,Meia,46580085,22,4,2723,2,passe
Atlético-GO,Nicolas,Lateral esquerdo,46580062,14,4,2713,2,passe
Atlético-GO,Gilvan,Zagueiro,46580056,8,4,2709,2,passe
Atlético-GO,Edson,Volante,46580029,15,4,2698,2,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46579970,8,4,2666,2,passe
Atlético-GO,Renato Kayzer,Atacante,46579966,29,4,2665,2,passe
Atlético-GO,Everton Felipe,Meia,46579960,30,4,2662,2,passe
Atlético-MG,Igor Rabello,Zagueiro,46579921,10,4,2637,2,rebatida
Atlético-MG,Réver,Zagueiro,46579905,3,4,2633,2,rebatida
Atlético-GO,João Victor,Zagueiro,46579907,35,4,2633,2,passe
Atlético-GO,João Victor,Zagueiro,46579852,24,4,2609,2,drible
Atlético-GO,Edson,Volante,46579842,23,4,2607,2,passe
Atlético-GO,Everton Felipe,Meia,46579836,28,4,2604,2,passe
Atlético-GO,Nicolas,Lateral esquerdo,46579825,20,4,2601,2,passe
Atlético-GO,Matheus Vargas,Meia,46579817,20,4,2599,2,passe
Atlético-GO,Matheus Vargas,Meia,46579804,19,4,2594,2,passe
Atlético-MG,Maílton,Lateral direito,46579681,24,4,2545,2,perdaPosseDeBola
Atlético-MG,Nathan,Meia,46579677,18,4,2542,2,passe
Atlético-MG,Mariano,Lateral direito,46579667,6,4,2539,2,passe
Atlético-GO,Nicolas,Lateral esquerdo,46579553,13,4,2478,2,passe
Atlético-GO,Edson,Volante,46579543,16,4,2476,2,passe
Atlético-GO,Éder Ferreira,Zagueiro,46579503,17,4,2455,2,passe
Atlético-GO,Nicolas,Lateral esquerdo,46579485,13,4,2445,2,passe
Atlético-GO,Gilvan,Zagueiro,46579477,14,4,2441,2,passe
Atlético-GO,Edson,Volante,46579471,16,4,2439,2,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46579352,27,4,2377,2,faltaCometida
Atlético-MG,Junior Alonso,Lateral esquerdo,46579265,3,4,2339,2,rebatida
Atlético-MG,Sávio,Atacante,46579235,19,4,2323,2,faltaCometida
Atlético-GO,João Victor,Zagueiro,46579219,24,4,2320,2,passe
Atlético-GO,Éder Ferreira,Zagueiro,46579178,11,4,2304,2,passe
Atlético-GO,Edson,Volante,46579162,1,4,2298,2,passe
Atlético-MG,Maílton,Lateral direito,46579157,30,4,2296,2,perdaPosseDeBola
Atlético-GO,João Victor,Zagueiro,46579079,30,4,2264,2,passe
Atlético-GO,Everton Felipe,Meia,46579071,28,4,2261,2,passe
Atlético-GO,Everton Felipe,Meia,46579060,27,4,2258,2,drible
Atlético-MG,Maílton,Lateral direito,46579053,24,4,2256,2,perdaPosseDeBola
Atlético-MG,Guilherme Arana,Lateral esquerdo,46579036,17,4,2250,2,passe
Atlético-GO,Renato Kayzer,Atacante,46579034,21,4,2250,2,perdaPosseDeBola
Atlético-GO,Edson,Volante,46578847,14,4,2164,2,passe
Atlético-GO,Edson,Volante,46578832,14,4,2160,2,passe
Atlético-GO,Matheus Vargas,Meia,46578825,16,4,2155,2,passe
Atlético-GO,Éder Ferreira,Zagueiro,46578812,10,4,2149,2,passe
Atlético-GO,João Victor,Zagueiro,46578794,18,4,2141,2,passe
Atlético-GO,Jean,Goleiro,46578789,3,4,2137,2,lancamento
Atlético-MG,Nathan,Meia,46578695,21,4,2086,2,finalizacao
Atlético-GO,Gilvan,Zagueiro,46578668,15,4,2074,2,passe
Atlético-GO,Edson,Volante,46578659,20,4,2071,2,passe
Atlético-GO,Nicolas,Lateral esquerdo,46578635,25,4,2063,2,passe
Atlético-GO,Matheus Vargas,Meia,46578630,29,4,2059,2,viradaDeJogo
Atlético-GO,Everton Felipe,Meia,46578575,28,4,2034,2,perdaPosseDeBola
Atlético-GO,João Victor,Zagueiro,46578565,30,4,2027,2,passe
Atlético-GO,Everton Felipe,Meia,46578551,23,4,2020,2,passe
Atlético-GO,Edson,Volante,46578534,14,4,2015,2,passe
Atlético-GO,Chico,Meia,46578528,14,4,2013,2,passe
Atlético-GO,Everton Felipe,Meia,46578510,21,4,2008,2,passe
Atlético-GO,Renato Kayzer,Atacante,46578504,15,4,2004,2,passe
Atlético-MG,Mariano,Lateral direito,46578434,30,4,1929,2,cruzamento
Atlético-GO,Matheus Vargas,Meia,46578383,29,4,1899,2,passe
Atlético-GO,Matheus Vargas,Meia,46578284,16,4,1829,2,passe
Atlético-GO,Jean,Goleiro,46578276,3,4,1823,2,passe
Atlético-MG,Nathan,Meia,46578271,29,4,1812,2,passe
Atlético-MG,Jair,Volante,46578209,19,4,1774,2,faltaCometida
Atlético-GO,Éder Ferreira,Zagueiro,46578190,12,4,1765,2,passe
Atlético-MG,Mariano,Lateral direito,46578115,18,4,1725,2,passe
Atlético-MG,Jair,Volante,46578046,20,4,1665,2,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46577918,31,4,1589,2,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46577877,25,4,1574,2,passe
Atlético-MG,Keno,Atacante,46577856,25,4,1557,2,perdaPosseDeBola
Atlético-MG,Igor Rabello,Zagueiro,46577790,23,4,1526,2,passe
Atlético-GO,Gilvan,Zagueiro,46577737,14,4,1507,2,faltaCometida
Atlético-GO,Oliveira,Zagueiro,46577536,22,4,1422,2,passe
Atlético-GO,João Victor,Zagueiro,46577216,30,4,1307,2,passe
Atlético-GO,Edson,Volante,46577166,17,4,1291,2,passe
Atlético-GO,Jean,Goleiro,46577156,8,4,1287,2,passe
Atlético-GO,Éder Ferreira,Zagueiro,46577141,11,4,1285,2,passe
Atlético-GO,Edson,Volante,46577112,14,4,1278,2,passe
Atlético-MG,Igor Rabello,Zagueiro,46576993,18,4,1242,2,rebatida
Atlético-GO,Éder Ferreira,Zagueiro,46576968,11,4,1234,2,passe
Atlético-GO,Nicolas,Lateral esquerdo,46576957,13,4,1229,2,passe
Atlético-GO,Edson,Volante,46576949,14,4,1226,2,passe
Atlético-GO,João Victor,Zagueiro,46576719,24,4,1136,2,passe
Atlético-GO,João Victor,Zagueiro,46576698,24,4,1127,2,passe
Atlético-GO,João Victor,Zagueiro,46576680,24,4,1121,2,passe
Atlético-GO,Oliveira,Zagueiro,46576669,14,4,1118,2,viradaDeJogo
Atlético-GO,Gilvan,Zagueiro,46576650,14,4,1115,2,passe
Atlético-GO,Edson,Volante,46576644,13,4,1113,2,passe
Atlético-MG,Eduardo Sasha,Atacante,46576625,11,4,1104,2,drible
Atlético-GO,Gilvan,Zagueiro,46576563,6,4,1064,2,passe
Atlético-GO,Gilvan,Zagueiro,46576554,6,4,1060,2,rebatida
Atlético-MG,Guilherme Arana,Lateral esquerdo,46576522,14,4,1043,2,passe
Atlético-GO,Renato Kayzer,Atacante,46576505,35,4,1037,2,finalizacao
Atlético-GO,Janderson,Atacante,46576496,30,4,1033,2,passe
Atlético-GO,Edson,Volante,46576439,20,4,1012,2,passe
Atlético-GO,Chico,Meia,46576430,20,4,1010,2,passe
Atlético-GO,Jean,Goleiro,46576343,9,4,981,2,passe
Atlético-MG,Igor Rabello,Zagueiro,46576244,24,4,945,2,faltaCometida
Atlético-GO,Edson,Volante,46576194,15,4,930,2,passe
Atlético-GO,Renato Kayzer,Atacante,46576181,21,4,925,2,passe
Atlético-GO,Edson,Volante,46575738,10,4,752,2,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46575667,15,4,721,2,passe
Atlético-MG,Jair,Volante,46575661,17,4,718,2,passe
Atlético-MG,Igor Rabello,Zagueiro,46575650,11,4,716,2,passe
Atlético-GO,João Victor,Zagueiro,46575613,10,4,708,2,passe
Atlético-MG,Igor Rabello,Zagueiro,46575547,23,4,690,2,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46575523,25,4,684,2,passe
Atlético-MG,Réver,Zagueiro,46575450,16,4,663,2,passe
Atlético-GO,Gustavo Ferrareis,Meia,46575302,33,4,599,2,gol
Atlético-GO,Chico,Meia,46575274,31,4,593,2,passe
Atlético-GO,Edson,Volante,46575232,19,4,581,2,passe
Atlético-GO,Gustavo Ferrareis,Meia,46575175,27,4,560,2,passe
Atlético-GO,Jean,Goleiro,46575068,3,4,525,2,passe
Atlético-GO,Éder Ferreira,Zagueiro,46575059,8,4,524,2,passe
Atlético-GO,Oliveira,Zagueiro,46575053,9,4,522,2,passe
Atlético-GO,Chico,Meia,46575040,15,4,518,2,passe
Atlético-GO,Renato Kayzer,Atacante,46575030,21,4,516,2,passe
Atlético-MG,Nathan,Meia,46574659,33,4,363,2,penaltiRecebido
Atlético-GO,Éder Ferreira,Zagueiro,46574653,4,4,362,2,penaltiCometido
Atlético-MG,Junior Alonso,Lateral esquerdo,46574632,21,4,354,2,passe
Atlético-MG,Igor Rabello,Zagueiro,46574595,18,4,340,2,passe
Atlético-GO,João Victor,Zagueiro,46574581,15,4,333,2,passe
Atlético-GO,Chico,Meia,46574575,20,4,328,2,passe
Atlético-MG,Alan Franco,Meia,46574572,12,4,327,2,perdaPosseDeBola
Atlético-MG,Réver,Zagueiro,46574544,5,4,317,2,rebatida
Atlético-MG,Réver,Zagueiro,46574506,12,4,300,2,rebatida
Atlético-GO,Nicolas,Lateral esquerdo,46574463,13,4,278,2,passe
Atlético-MG,Jair,Volante,46574416,21,4,247,2,passe
Atlético-MG,Réver,Zagueiro,46574408,16,4,243,2,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46574393,8,4,237,2,passe
Atlético-MG,Everson,Goleiro,46574386,4,4,234,2,passe
Atlético-MG,Eduardo Sasha,Atacante,46574262,21,4,183,2,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46574247,13,4,178,2,passe
Atlético-MG,Réver,Zagueiro,46574079,17,4,116,2,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46574001,28,4,80,2,finalizacao
Atlético-GO,Janderson,Atacante,46573963,17,4,69,2,perdaPosseDeBola
Atlético-MG,Guilherme Arana,Lateral esquerdo,46573885,14,4,48,2,passe
Atlético-GO,João Victor,Zagueiro,46573852,17,4,32,2,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46576319,16,4,23,2,faltaCometida
Atlético-GO,Dudu,Lateral direito,46573798,12,4,12,2,passe
Atlético-GO,João Victor,Zagueiro,46573791,11,4,10,2,passe
Atlético-GO,Chico,Meia,46573781,15,4,7,2,passe
Atlético-MG,Guga,Lateral direito,46571591,17,2,3058,1,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46571588,16,2,3057,1,passe
Atlético-MG,Allan,Volante,46571499,9,2,3027,1,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46571361,27,2,2983,1,passe
Atlético-MG,Savarino,Meia,46571354,29,2,2981,1,passe
Atlético-MG,Allan,Volante,46571308,14,2,2969,1,passe
Atlético-MG,Réver,Zagueiro,46571302,10,2,2967,1,passe
Atlético-MG,Guga,Lateral direito,46571296,10,2,2966,1,passe
Atlético-MG,Eduardo Sasha,Atacante,46571263,10,2,2955,1,faltaRecebida
Atlético-GO,Oliveira,Zagueiro,46571244,29,2,2949,1,passe
Atlético-MG,Allan,Volante,46571045,20,2,2896,1,passe
Atlético-MG,Réver,Zagueiro,46571031,21,2,2890,1,passe
Atlético-MG,Allan,Volante,46571029,20,2,2888,1,passe
Atlético-MG,Réver,Zagueiro,46571023,21,2,2887,1,passe
Atlético-MG,Jair,Volante,46571019,27,2,2886,1,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46571015,25,2,2883,1,passe
Atlético-MG,Allan,Volante,46571011,26,2,2882,1,passe
Atlético-MG,Jair,Volante,46571007,29,2,2881,1,passe
Atlético-MG,Savarino,Meia,46571002,30,2,2879,1,passe
Atlético-MG,Savarino,Meia,46570986,30,2,2873,1,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46570979,21,2,2870,1,passe
Atlético-MG,Keno,Atacante,46570965,20,2,2867,1,passe
Atlético-GO,Janderson,Atacante,46570942,17,2,2861,1,perdaPosseDeBola
Atlético-MG,Guga,Lateral direito,46570848,11,2,2840,1,passe
Atlético-MG,Réver,Zagueiro,46570838,4,2,2839,1,passe
Atlético-MG,Everson,Goleiro,46570824,4,2,2836,1,passe
Atlético-GO,Chico,Meia,46570723,15,2,2803,1,passe
Atlético-GO,Gustavo Ferrareis,Meia,46570716,9,2,2801,1,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46570698,20,2,2797,1,passe
Atlético-MG,Allan,Volante,46570689,20,2,2795,1,passe
Atlético-MG,Keno,Atacante,46570685,25,2,2794,1,passe
Atlético-MG,Keno,Atacante,46570676,25,2,2791,1,perdaPosseDeBola
Atlético-MG,Allan,Volante,46570650,26,2,2784,1,passe
Atlético-MG,Jair,Volante,46570610,22,2,2776,1,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46570462,26,2,2740,1,passe
Atlético-GO,Chico,Meia,46570442,10,2,2733,1,perdaPosseDeBola
Atlético-MG,Jair,Volante,46570422,27,2,2725,1,passe
Atlético-MG,Allan,Volante,46570414,21,2,2723,1,passe
Atlético-MG,Réver,Zagueiro,46570405,22,2,2720,1,passe
Atlético-MG,Everson,Goleiro,46570352,3,2,2703,1,passe
Atlético-GO,Chico,Meia,46570282,19,2,2687,1,passe
Atlético-GO,Renato Kayzer,Atacante,46570273,19,2,2684,1,passe
Atlético-MG,Réver,Zagueiro,46570174,15,2,2659,1,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46570162,13,2,2653,1,passe
Atlético-GO,Jean,Goleiro,46570136,3,2,2644,1,passe
Atlético-GO,Dudu,Lateral direito,46570047,24,2,2624,1,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46570030,7,2,2619,1,rebatida
Atlético-GO,Gustavo Ferrareis,Meia,46569915,13,2,2580,1,faltaRecebida
Atlético-MG,Guga,Lateral direito,46569900,24,2,2574,1,faltaCometida
Atlético-MG,Réver,Zagueiro,46569848,18,2,2560,1,rebatida
Atlético-MG,Eduardo Sasha,Atacante,46569695,33,2,2518,1,perdaPosseDeBola
Atlético-MG,Jair,Volante,46569683,27,2,2516,1,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46569653,31,2,2505,1,passe
Atlético-MG,Keno,Atacante,46569648,25,2,2503,1,passe
Atlético-MG,Allan,Volante,46569644,27,2,2501,1,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46569634,21,2,2498,1,passe
Atlético-MG,Alan Franco,Meia,46569615,36,2,2489,1,passe
Atlético-MG,Allan,Volante,46569575,13,2,2473,1,passe
Atlético-MG,Alan Franco,Meia,46569567,22,2,2470,1,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46569557,15,2,2467,1,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46569545,7,2,2464,1,passe
Atlético-MG,Everson,Goleiro,46569534,3,2,2460,1,passe
Atlético-GO,Chico,Meia,46569520,20,2,2451,1,passe
Atlético-GO,Nicolas,Lateral esquerdo,46569515,14,2,2449,1,passe
Atlético-GO,Gustavo Ferrareis,Meia,46569400,31,2,2402,1,perdaPosseDeBola
Atlético-MG,Junior Alonso,Lateral esquerdo,46569318,21,2,2378,1,passe
Atlético-GO,Nicolas,Lateral esquerdo,46569243,7,2,2356,1,passe
Atlético-GO,Jean,Goleiro,46569222,9,2,2351,1,passe
Atlético-GO,Nicolas,Lateral esquerdo,46569208,20,2,2349,1,passe
Atlético-MG,Everson,Goleiro,46569134,4,2,2299,1,defesaDificil
Atlético-GO,João Victor,Zagueiro,46569100,11,2,2283,1,passe
Atlético-GO,Edson,Volante,46569070,3,2,2268,1,rebatida
Atlético-GO,João Victor,Zagueiro,46568979,3,2,2236,1,rebatida
Atlético-GO,Gustavo Ferrareis,Meia,46568724,2,2,2117,1,rebatida
Atlético-MG,Junior Alonso,Lateral esquerdo,46568710,34,2,2112,1,perdaPosseDeBola
Atlético-GO,Jean,Goleiro,46568700,4,2,2109,1,rebatida
Atlético-MG,Keno,Atacante,46568629,32,2,2086,1,perdaPosseDeBola
Atlético-MG,Réver,Zagueiro,46568593,22,2,2073,1,passe
Atlético-MG,Eduardo Sasha,Atacante,46568563,20,2,2062,1,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46568542,14,2,2054,1,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46568514,10,2,2043,1,passe
Atlético-MG,Allan,Volante,46568508,16,2,2042,1,passe
Atlético-MG,Réver,Zagueiro,46568505,17,2,2040,1,passe
Atlético-MG,Savarino,Meia,46568429,33,2,2011,1,impedimento
Atlético-MG,Savarino,Meia,46568111,33,2,1866,1,gol
Atlético-MG,Guilherme Arana,Lateral esquerdo,46567978,26,2,1815,1,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46567945,14,2,1804,1,passe
Atlético-MG,Allan,Volante,46567940,13,2,1802,1,passe
Atlético-MG,Réver,Zagueiro,46567922,16,2,1796,1,passe
Atlético-MG,Guga,Lateral direito,46567920,17,2,1795,1,passe
Atlético-MG,Allan,Volante,46567898,8,2,1787,1,passe
Atlético-MG,Everson,Goleiro,46567892,4,2,1782,1,passe
Atlético-GO,Gustavo Ferrareis,Meia,46567882,31,2,1778,1,faltaCometida
Atlético-MG,Allan,Volante,46567602,7,2,1682,1,passe
Atlético-GO,Edson,Volante,46567553,10,2,1665,1,rebatida
Atlético-MG,Guilherme Arana,Lateral esquerdo,46567521,16,2,1652,1,passe
Atlético-MG,Eduardo Sasha,Atacante,46567517,10,2,1651,1,passe
Atlético-MG,Guga,Lateral direito,46567511,6,2,1649,1,passe
Atlético-MG,Alan Franco,Meia,46567496,6,2,1646,1,passe
Atlético-GO,Oliveira,Zagueiro,46567447,31,2,1635,1,passe
Atlético-MG,Jair,Volante,46567421,6,2,1628,1,perdaPosseDeBola
Atlético-MG,Alan Franco,Meia,46567349,12,2,1606,1,rebatida
Atlético-GO,Gustavo Ferrareis,Meia,46567347,26,2,1606,1,perdaPosseDeBola
Atlético-GO,João Victor,Zagueiro,46567335,17,2,1597,1,passe
Atlético-GO,Janderson,Atacante,46567317,24,2,1593,1,passe
Atlético-MG,Réver,Zagueiro,46567200,16,2,1561,1,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46567188,15,2,1560,1,passe
Atlético-MG,Allan,Volante,46567186,19,2,1558,1,passe
Atlético-MG,Guilherme Arana,Lateral esquerdo,46567175,20,2,1557,1,passe
Atlético-MG,Réver,Zagueiro,46567157,16,2,1552,1,passe
Atlético-MG,Everson,Goleiro,46567153,9,2,1551,1,passe
Atlético-GO,Oliveira,Zagueiro,46567120,10,2,1543,1,rebatida
Atlético-MG,Guilherme Arana,Lateral esquerdo,46567054,20,2,1526,1,passe
Atlético-MG,Allan,Volante,46567048,14,2,1524,1,passe
Atlético-MG,Réver,Zagueiro,46567038,10,2,1522,1,passe
Atlético-MG,Jair,Volante,46567029,17,2,1520,1,passe
Atlético-MG,Guga,Lateral direito,46567024,11,2,1518,1,passe
Atlético-MG,Alan Franco,Meia,46567022,18,2,1517,1,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46567005,8,2,1513,1,passe
Atlético-MG,Réver,Zagueiro,46566995,4,2,1511,1,passe
Atlético-MG,Everson,Goleiro,46566984,3,2,1507,1,defesa
Atlético-GO,Gustavo Ferrareis,Meia,46566914,9,2,1485,1,passe
Atlético-MG,Guga,Lateral direito,46566910,28,2,1484,1,perdaPosseDeBola
Atlético-MG,Allan,Volante,46566864,20,2,1475,1,passe
Atlético-MG,Réver,Zagueiro,46566858,22,2,1473,1,passe
Atlético-MG,Junior Alonso,Lateral esquerdo,46566638,21,2,1412,1,passe
Atlético-MG,Allan,Volante,46566627,26,2,1410,1,passe
Atlético-MG,Jair,Volante,46566618,27,2,1408,1,passe
Atlético-MG,Jair,Volante,46566586,28,2,1403,1,passe
Atlético-MG,Keno,Atacante,46566582,28,2,1402,1,passe
Atlético-MG,Allan,Volante,46566527,20,2,1391,1,passe
Atlético-MG,Allan,Volante,46566502,21,2,1387,1,passe
Atlético-MG,Jair,Volante,46566497,22,2,1384,1,passe
Atlético-GO,Edson,Volante,46566472,14,2,1382,1,passe
Atlético-MG,Eduardo Sasha,Atacante,46566470,21,2,1381,1,passe
